step,t,atom_id,mol_id,x,y,z,S,xlo,xhi,ylo,yhi,zlo,zhi
0,13000.0,939712,979.0,-47.6233,-51.8667,8.63412,-4.92085,-117.717,117.717,-61.224,61.224,-11.153,11.153
1,13050.0,939712,979.0,-45.9972,-51.4914,8.51995,-5.06449,-119.145,119.145,-60.824,60.824,-11.156,11.156
2,13100.0,939712,979.0,-44.4843,-52.0478,8.74694,-5.13132,-120.576,120.576,-60.423,60.423,-11.147,11.147
3,13150.0,939712,979.0,-43.7265,-51.6372,8.80648,-5.08659,-122.01,122.01,-60.021,60.021,-11.143,11.143
4,13200.0,939712,979.0,-41.5533,-51.1606,8.96887,-5.09023,-123.448,123.448,-59.618,59.618,-11.141,11.141
5,13250.0,939712,979.0,-41.8098,-50.4513,7.78831,-4.97991,-124.89,124.89,-59.216,59.216,-11.135,11.135
6,13300.0,939712,979.0,-40.6329,-50.3891,7.69879,-5.49838,-126.336,126.336,-58.813,58.813,-11.136,11.136
7,13350.0,939712,979.0,-40.3146,-50.0142,8.93019,-5.23976,-127.786,127.786,-58.41,58.41,-11.138,11.138
8,13400.0,939712,979.0,-40.1874,-49.2748,8.37041,-5.06307,-129.241,129.241,-58.007,58.007,-11.128,11.128
9,13450.0,939712,979.0,-39.4253,-49.7885,9.42346,-5.31098,-130.7,130.7,-57.604,57.604,-11.124,11.124
10,13500.0,939712,979.0,-38.77,-50.434,8.70732,-5.02161,-132.163,132.163,-57.201,57.201,-11.128,11.128
11,13550.0,939712,979.0,-37.1558,-50.4266,7.84604,-5.56825,-133.632,133.632,-56.799,56.799,-11.118,11.118
12,13600.0,939712,979.0,-39.9097,-48.9966,8.17737,-5.20084,-135.105,135.105,-56.397,56.397,-11.122,11.122
13,13650.0,939712,979.0,-38.1476,-49.8473,8.42367,-5.04336,-136.583,136.583,-55.995,55.995,-11.115,11.115
14,13700.0,939712,979.0,-39.4323,-49.3618,8.54621,-4.9977,-138.067,138.067,-55.594,55.594,-11.124,11.124
15,13750.0,939712,979.0,-38.4136,-48.7003,9.1206,-5.03304,-139.556,139.556,-55.194,55.194,-11.123,11.123
16,13800.0,939712,979.0,-37.4496,-48.6072,10.0238,-5.33817,-141.051,141.051,-54.795,54.795,-11.108,11.108
17,13850.0,939712,979.0,-36.7716,-48.8754,9.1969,-5.06733,-142.552,142.552,-54.396,54.396,-11.1,11.1
18,13900.0,939712,979.0,-35.7386,-47.7184,9.62629,-5.28738,-144.059,144.059,-53.999,53.999,-11.102,11.102
19,13950.0,939712,979.0,-37.9468,-47.0338,10.1791,-4.97474,-145.572,145.572,-53.602,53.602,-11.101,11.101
20,14000.0,939712,979.0,-38.2409,-46.8946,9.77536,-5.07516,-147.091,147.091,-53.207,53.207,-11.098,11.098
21,14050.0,939712,979.0,-37.3619,-47.0264,9.8462,-5.20933,-148.617,148.617,-52.813,52.813,-11.09,11.09
22,14100.0,939712,979.0,-35.5432,-46.7139,10.8529,-5.44512,-150.149,150.149,-52.42,52.42,-11.088,11.088
23,14150.0,939712,979.0,-36.1741,-46.1037,10.7312,-5.00609,-151.688,151.688,-52.028,52.028,-11.085,11.085
24,14200.0,939712,979.0,-33.9909,-46.2525,10.0669,-5.11457,-153.235,153.235,-51.638,51.638,-11.084,11.084
25,14250.0,939712,979.0,-33.8047,-47.0529,10.3014,-4.9254,-154.788,154.788,-51.249,51.249,-11.092,11.092
26,14300.0,522816,793.0,-55.0461,-45.731,-10.0292,-5.2085,-156.35,156.35,-50.862,50.862,-11.071,11.071
27,14350.0,913600,972.0,-51.8098,-49.9816,10.0382,-5.38035,-157.918,157.918,-50.476,50.476,-11.079,11.079
