xi,yi,zi,Syy,Vx,Vy,aid,step
1,57,1,0.0,4.00813,-1.0967099999999999,[630231 630230],0
2,55,5,0.0,-4.702855,-0.050289999999999946,[860856 860857],0
5,49,9,0.0,4.13965,4.43341,[985018],0
5,60,11,0.0,-6.036754999999999,-0.9219245,[682839 414610],0
7,45,4,0.0,-6.94707,0.548484,[353797],0
7,45,9,0.0,-6.68957,1.1075,[577117],0
8,43,10,0.0,-5.02973,-0.522183,[226692],0
9,41,1,0.0,-4.74364,1.58184,[563395],0
9,61,7,0.0,-4.555523333333333,4.4984166666666665,[910182 910183 910039],0
10,40,2,0.0,-4.20431025,-0.7861862500000001,[107688 107690 107691 107689],0
10,60,11,0.0,4.28281,0.27867,[207254],0
10,61,3,0.0,5.847645,0.2613825,[972779 972780],0
11,52,11,0.0,3.974246666666667,-0.1084573333333334,[311341 311342 335889],0
11,59,11,0.0,4.769545,0.8489454999999999,[682795 695241],0
11,61,7,0.0,-4.1925099999999995,-2.121425,[686017 686016 910071],0
12,36,8,0.0,-5.79169,-3.15113,[872075],0
12,55,11,0.0,-3.9781,-0.459023,[75368],0
12,59,11,0.0,4.22013,1.84923,[908824 908823],0
12,60,11,0.0,-4.41393,5.14302,[245699],0
13,61,1,0.0,-6.013886666666667,1.1464436666666666,[670155 824923 670154],0
14,52,11,0.0,5.060264999999999,-4.6465950000000005,[798703 900931],0
15,37,11,0.0,-4.18674,5.15439,[854904],0
15,58,11,0.0,4.17411,-2.27532,[232125],0
16,28,1,0.0,3.981006666666667,-0.05960566666666666,[430596 430598 430599],0
16,51,11,0.0,5.77221,-0.927507,[268500],0
16,58,11,0.0,-6.97006,3.11064,[909541],0
17,26,9,0.0,-4.51839,-2.40092,[637839],0
17,34,11,0.0,4.45726,2.21658,[876187],0
18,29,11,0.0,-4.533155,0.6433949999999999,[185103 685184],0
18,34,11,0.0,5.85205,-1.7239,[800931],0
18,53,11,0.0,-5.63618,9.52399,[403800],0
19,22,10,0.0,6.27356,-3.26936,[864045],0
19,27,11,0.0,4.05492,-2.92535,[28838],0
19,30,11,0.0,4.68198,0.303603,[509583],0
19,36,11,0.0,4.255405,-3.93119,[102106 733361],0
19,51,11,0.0,4.76014,-2.15438,[822436],0
19,57,11,0.0,4.20811,-0.9918334999999999,[273803 273802],0
19,59,11,0.0,-4.160243333333334,-1.33403,[918575 918578 690198],0
20,28,11,0.0,-5.49401,-1.20103,[706243],0
20,44,11,0.0,5.98324,1.93083,[856499],0
20,48,11,0.0,5.06161,0.07863999999999993,[268688 268693],0
20,54,11,0.0,5.09155,1.9492,[660043],0
21,18,8,0.0,4.23529,-6.38755,[383973],0
21,27,11,0.0,-6.87572,1.12636,[52770],0
21,50,11,0.0,3.9704,6.1571,[579515],0
21,55,11,0.0,-4.61389,-4.301955,[253268 253266],0
22,16,1,0.0,-4.05338,-2.67701,[352479],0
22,35,11,0.0,4.51712,1.68515,[733344],0
