xi,yi,zi,Syy,Vx,Vy,aid,step
0,59,10,0.0,3.5946800000000003,3.9955800000000004,[152040  75278],0
0,61,3,0.0,-3.317915,5.191395,[552777 552776],0
3,53,0,0.0,-2.85059,-5.01398,[779512],0
4,61,9,0.0,-0.04200646666666669,-5.128286666666667,[658280 658279 766671],0
5,49,9,0.0,4.13965,4.43341,[985018],0
5,58,11,0.0,1.69577,6.36051,[515257],0
6,48,11,0.0,3.4371799999999997,-5.473433333333333,[280042 280043  50352],0
6,54,11,0.0,-1.431659,-4.469885,[798396 798397],0
6,61,5,0.0,-0.153394,-3.99413,[161153],0
7,48,11,0.0,-0.2784575,-4.386765,[ 50353 280052],0
8,43,0,0.0,-0.132052,-4.67367,[35097],0
8,51,11,0.0,2.2984,-4.108575,[623408 560637],0
8,61,0,0.0,-1.16099,5.37474,[207239],0
9,46,11,0.0,1.73997,5.24495,[154330],0
9,61,7,0.0,-4.555523333333333,4.4984166666666665,[910182 910183 910039],0
10,39,6,0.0,-0.10471,4.63653,[45677],0
10,39,10,0.0,-3.19535,-4.30204,[855107],0
10,40,0,0.0,-3.4122,9.12396,[854944],0
10,47,11,0.0,-1.2057,-5.00397,[677040],0
11,45,11,0.0,-0.38443,-4.38915,[94149],0
11,47,11,0.0,-1.4997,-6.54858,[275715],0
12,35,8,0.0,0.240204,6.36927,[872073],0
12,60,11,0.0,-4.41393,5.14302,[245699],0
13,51,11,0.0,-0.51145,3.97635,[798799 798800],0
14,46,11,0.0,2.66156,-4.9381900000000005,[508030 508029],0
14,52,11,0.0,5.060264999999999,-4.6465950000000005,[798703 900931],0
14,61,5,0.0,-0.677855,-7.53163,[610749],0
15,37,11,0.0,-4.18674,5.15439,[854904],0
15,43,11,0.0,-3.03364,4.4687,[505527],0
15,44,11,0.0,-0.965567,-6.17117,[154695],0
16,52,11,0.0,-1.5573515,-4.472485,[900916 900917],0
16,54,11,0.0,0.554835,-5.132505,[403783 403786],0
16,61,8,0.0,-1.1699533333333332,-5.05881,[686626   2403   2402],0
17,44,11,0.0,-0.323977,-4.76054,[189647],0
17,46,11,0.0,0.596154,-4.7508,[614484],0
18,24,11,0.0,1.93322,6.27831,[713064],0
18,37,11,0.0,-1.9973,5.18376,[733372],0
18,38,11,0.0,-3.66762,-4.9159,[480374],0
18,53,11,0.0,-5.63618,9.52399,[403800],0
18,55,11,0.0,1.18629,6.06193,[695377],0
19,22,8,0.0,-0.649687,-5.04609,[623754],0
19,61,11,0.0,-2.86635,-4.0697,[619351],0
20,20,3,0.0,-2.50856,-4.91282,[538527],0
20,31,11,0.0,3.72917,3.97903,[875813],0
21,18,8,0.0,4.23529,-6.38755,[383973],0
21,42,11,0.0,1.27349,5.23705,[845592],0
21,50,11,0.0,3.9704,6.1571,[579515],0
21,55,11,0.0,-4.61389,-4.301955,[253268 253266],0
21,61,5,0.0,1.3631133333333334,-5.061973333333333,[432096 432098  87072],0
22,31,11,0.0,1.432936,-4.340199999999999,[360924 360922],0
22,32,11,0.0,2.252685,-4.37488,[66369 66370],0
22,49,11,0.0,1.6855,-5.23651,[579508],0
22,54,11,0.0,-1.8080933333333336,4.805273333333333,[485081 336847 485080],0
22,59,11,0.0,-3.2949450000000002,4.37019,[690041 690042],0
23,14,5,0.0,-6.16843,-5.57713,[386304],0
23,14,9,0.0,0.14715933333333345,-6.27302,[200752 241083 241082],0
23,53,11,0.0,-2.50998,6.24807,[659801],0
23,60,11,0.0,3.534185,-4.279845,[492802 492804],0
24,34,11,0.0,3.9313849999999997,-5.177955000000001,[220556 220560],0
25,10,7,0.0,0.655623,4.38251,[247798],0
25,10,8,0.0,-0.801253,-5.05435,[132545],0
25,16,11,0.0,3.02916,5.75319,[544848],0
25,22,11,0.0,-1.17915,5.18371,[713119],0
25,32,11,0.0,2.13277,3.98814,[83603],0
25,40,11,0.0,2.45616,-7.88593,[39936],0
26,8,9,0.0,0.342841,4.95254,[975011],0
26,17,11,0.0,-0.0561748,7.5942,[307336],0
26,35,11,0.0,0.144432,4.469465,[327678 208902],0
26,37,11,0.0,-1.35415,5.13614,[783553],0
26,45,11,0.0,1.8294,6.39356,[346708],0
26,46,11,0.0,0.0836013,-4.38197,[554375],0
26,61,0,0.0,-4.79324,-7.26453,[521227],0
26,61,2,0.0,-2.15114,4.07756,[475926],0
27,17,11,0.0,-2.8893,4.3806,[863853],0
27,25,11,0.0,2.789803,-4.762485,[925778 925776],0
27,56,11,0.0,-2.04966,4.06312,[185844],0
28,4,3,0.0,-0.326245,6.41091,[973755],0
28,14,11,0.0,4.49101,-4.30139,[751553],0
28,24,11,0.0,-0.548345,-5.17308,[425758],0
28,38,11,0.0,-1.179973,-4.0870755,[20376 20378],0
28,61,5,0.0,2.55383,5.46448,[635522],0
29,38,11,0.0,0.32386950000000003,-4.00711,[587764  20379],0
29,45,11,0.0,0.407215,-5.60573,[163648],0
29,61,3,0.0,1.34637,4.5508,[476320],0
30,45,11,0.0,-2.1223799999999997,-4.49226,[163647 163646],0
30,51,11,0.0,-2.1514575,-4.2901255,[659751 659754],0
31,11,11,0.0,-0.72756,-6.16226,[774876],0
31,15,11,0.0,-3.08315,4.41488,[723289],0
31,33,11,0.0,-2.01834,-5.68551,[795991],0
31,35,11,0.0,0.6754045,4.36043,[782205 782207],0
31,38,11,0.0,5.39184,-6.09496,[353511],0
31,42,11,0.0,-2.57882,5.62429,[596361],0
31,43,11,0.0,4.131,-4.50929,[628379],0
32,38,11,0.0,-2.94172,-4.50741,[39831],0
32,42,11,0.0,2.76013,-5.02864,[596360],0
32,45,11,0.0,0.510521,5.60622,[416719],0
32,56,11,0.0,-0.3513649999999999,-5.194435,[536791 536792],0
32,61,0,0.0,5.0752,-5.286,[883271],0
32,61,4,0.0,2.83618,-4.68173,[464303],0
33,24,11,0.0,-1.407815,-5.556279999999999,[646519 646516],0
33,26,11,0.0,-2.73057,6.34005,[277798],0
33,47,11,0.0,-0.0369372,6.21553,[732182],0
34,16,11,0.0,2.50964,-6.40428,[608900 608902],0
34,26,11,0.0,0.3250878,-5.510415,[963867 963866],0
34,46,11,0.0,5.33807,-5.08331,[498035],0
34,61,1,0.0,4.54998,7.80409,[932758],0
35,0,11,0.0,2.53456,9.00375,[126173],0
35,1,11,0.0,0.405394,-4.78293,[522837],0
35,13,11,0.0,4.38564,4.10271,[723073],0
35,16,11,0.0,-4.24133,5.66043,[179337],0
35,17,11,0.0,3.39802,-5.19494,[915742],0
35,21,11,0.0,6.13957,5.18796,[476931],0
35,28,11,0.0,1.1289646666666666,-4.124421,[872254 872256 872252],0
35,32,11,0.0,1.495152,-4.3983,[126624 126626],0
36,19,11,0.0,-1.78263,4.21253,[511108],0
36,21,11,0.0,-1.47828,7.23249,[122889],0
36,24,11,0.0,2.95611,-4.26675,[510625],0
36,38,11,0.0,1.32269,-4.17119,[975296],0
37,14,11,0.0,1.93427,-6.94683,[512517],0
37,18,11,0.0,-0.939365,7.44894,[668435],0
37,42,11,0.0,-4.14582,4.89279,[163583],0
37,61,1,0.0,4.37354,-5.49585,[654965],0
38,0,11,0.0,1.54486,4.39227,[232215],0
38,20,11,0.0,5.62599,4.11811,[927326],0
38,24,11,0.0,-1.0174465,-4.50659,[66202 66201],0
38,53,11,0.0,-2.77696,-4.00919,[504764],0
38,61,11,0.0,-2.85211,5.95339,[270431],0
39,8,11,0.0,0.10305999999999993,4.912345,[692323 692324],0
39,10,11,0.0,-2.10658,-6.02285,[473209],0
40,9,11,0.0,-0.427764,4.273596666666666,[545009 545013 545011],0
40,15,11,0.0,3.03092,5.07204,[758898],0
40,22,11,0.0,-3.45862,5.99776,[426355],0
40,26,11,0.0,0.2392050000000001,6.190195,[834260 834258],0
40,52,11,0.0,0.781845,-5.37799,[167683],0
40,53,11,0.0,7.02802,4.0064,[504783],0
40,56,11,0.0,4.8007,-4.86581,[521077],0
40,59,11,0.0,-2.00748,-5.42482,[270446],0
41,9,11,0.0,2.85213,-4.39952,[7739 7740],0
41,60,11,0.0,6.14561,-4.73383,[259867],0
42,38,11,0.0,5.61682,7.079,[636505],0
42,61,0,0.0,-3.34761,4.99321,[306942],0
42,61,3,0.0,-0.395653,-8.1392,[501624],0
42,61,4,0.0,0.6402059999999998,-5.163603,[390645 390642 390646 390644],0
43,17,11,0.0,1.60225,-7.57891,[185341],0
