xi,yi,zi,Syy,Vx,Vy,aid,step
1,57,11,46.0204,-1.87835,3.62449,[218553],1
3,53,0,56.0997,2.66078,-3.53149,[106319],1
3,53,7,-46.8251,3.44745,-1.48702,[623064],1
3,53,8,-63.656066666666675,-0.3161199999999999,-2.059167,[271224 232813 271223],1
3,53,10,-61.531475,2.72015675,-0.409858,[193047 193595 193594 193593],1
4,51,6,95.16265,1.3630375,-0.8173250000000001,[780641 780642],1
4,51,7,-67.49815000000001,-1.8248085,-1.357359,[701800 701801],1
4,51,8,45.906,-2.98639,-3.06163,[702186],1
4,54,11,-86.2209,0.259625,4.07218,[515532],1
5,49,2,-71.0557,0.921784,1.42992,[189742],1
5,49,9,47.303799999999995,0.22359600000000002,0.864525,[493738 759864],1
5,54,11,-57.179833333333335,-4.174306666666666,3.245973333333333,[798941 515533  98418],1
5,60,11,-59.8722,-0.527708,-3.23705,[968100],1
6,47,0,-118.7065,1.65774,-3.9079384,[50423 50424],1
6,47,1,-83.3381,0.716941,-1.14774,[50367],1
6,48,11,-64.069,2.18719,2.77272,[50351],1
6,53,11,-61.5573,5.88521,5.75019,[384494],1
7,45,4,58.1056,-0.903183,0.912917,[782424],1
7,47,11,53.52255,-0.37431499999999995,-1.5743200000000002,[50430 50433],1
7,49,11,55.48043333333334,-3.749586666666667,1.9076833333333332,[ 50277 154346 154345],1
8,44,3,-52.1211875,1.09492525,0.5855475,[897242 332612 332613 897244 897241 306009 306008 306007],1
8,45,11,51.13471,-1.5049800000000002,1.9186596999999999,[382124 382257],1
8,60,11,48.3757,3.56131,7.50845,[232189],1
9,42,2,-52.47085,1.4319950000000001,3.9980149999999997,[783700 662425],1
9,45,11,59.45246666666666,-1.2152299333333334,-1.779086666666667,[382127  50319 382125],1
9,51,11,70.7444,-1.83295,1.5683,[193004],1
9,54,11,115.629,-2.02713,2.99633,[798965],1
10,40,9,70.871075,0.12518225,0.021609500000000004,[407562 237127 237126 237128],1
10,45,4,-45.596130699999996,1.40323566,0.7118484,[792685 306021 306023 792683 792684 306020 306022 792682 306025 306024],1
10,47,4,48.711406733333334,2.047210133333333,0.07871433333333328,"[676238 562288 562285 562286 562289 676236 562287 676237 562284 562283
 676234 676235 676233 676232 562290]",1
10,50,11,-62.3025,0.815973,2.38889,[192996],1
10,59,8,49.18428866666667,-0.17452876666666672,0.6674933333333333,"[522570 522571 522568 522572 522778 522574 522573 522773 522777 522365
 522779 522569 522406 522405 522780]",1
11,38,11,-49.868,5.34888,-0.210365,[854852],1
11,52,11,58.26935,-1.11884,-3.728486,[901967 901970],1
12,36,1,-98.7446,3.19325,-1.97632,[765206],1
12,38,11,66.60306666666666,-0.09408433333333333,1.7067653333333332,[854855 557677 854854],1
12,45,11,-49.005900000000004,2.0402823333333333,-0.8222723333333334,[306602 465915 465917],1
12,46,11,-45.14945,-2.0937435,-1.8858695,[677021 677022],1
12,47,11,78.39955,3.3259325,2.5667059,[508046 508047],1
12,52,11,-51.583325,1.74062325,0.9090075,[598038 598039 598037 901966],1
13,34,6,-46.98675,-4.34509,-0.4729205,[86721 86720],1
13,34,8,49.5673,2.07268,4.03532,[360844],1
13,44,11,57.4334,-1.0875,-1.56683,[793356],1
13,47,11,-45.4612,-2.756845,5.7330000000000005,[508041 508040],1
13,52,11,87.3419,-0.724988,-1.83478,[901619],1
13,57,11,-65.6635,-1.08976655,-2.6599399999999997,[914485 914486],1
14,32,0,-48.43,3.89892,1.52063,[740500],1
14,32,11,-60.8831,4.48368,-3.64277,[876347],1
14,33,6,-45.8567125,-1.12627386,-1.0062867,[ 86737  86705  86707  86704  86738  86706 542902 542903 542904  86703],1
14,39,6,46.72284310526316,-0.18977121052631576,-0.03243402105263151,"[ 59146  59147  59145 173161 173160  59150  89959  59149  59148  59144
 173157  89958  89956  89957 173156 173159 173162  89960 173158]",1
14,53,11,-50.90813333333333,-0.14746633333333334,2.4290266666666667,[962117 962118 323489],1
15,30,8,-53.452,-1.10762,5.21097,[791142],1
15,38,11,53.0913,1.95347,2.3009,[733404],1
15,42,11,80.3896,2.91073,3.16012,[139429],1
15,58,11,-86.4513,1.33709,-2.02125,[611466],1
15,60,11,67.8172,2.5421500000000004,-0.6321449999999997,[245709 245710],1
16,34,11,68.68735,2.353417,-0.6145749999999999,[98183 98184],1
16,51,11,-50.3892,2.34393,-2.38179,[268486],1
16,56,11,62.39555,-2.623084,-2.9128100000000003,[659978 659977],1
16,57,11,-84.5524,5.25778,-0.13286,[968377],1
17,33,11,-71.2622,2.549765,-0.45774099999999995,[800913 800914],1
17,34,11,-49.52645,0.5761105,-0.8069930000000001,[876190 876189],1
17,36,11,-61.522400000000005,-3.471515,0.0008849999999999136,[703081 703080],1
17,43,11,76.6589,1.80528,1.24625,[189638],1
18,25,3,-63.9869,-2.6114395,2.7458323,[637470 637469],1
18,27,11,-67.8924,-1.15532,0.228871,[231432],1
18,46,11,63.5156,-0.276721,-0.813583,[614806],1
18,57,11,-101.3,3.72483,1.63396,[253317],1
19,23,5,46.2688,-0.221987,3.14778,[482193],1
19,23,10,56.76885,3.0865509700000002,-3.108855,[713079 713080],1
19,37,11,45.1908,-3.56431,-1.41614,[102091],1
20,21,3,56.535133333333334,0.5086323333333334,-1.9691106666666667,[596000 595999 595998],1
20,21,6,54.8815,-1.88831,-1.4894,[864650],1
20,21,7,47.29246666666668,-2.0279433333333334,-0.3309433333333332,[512674 512672 512671],1
20,21,10,-73.5937,-1.921475,-4.310035,[723442 723441],1
20,21,11,-70.8915,6.77162,-1.24612,[500571],1
21,54,11,-63.5149,-0.0589762,2.2512,[660055],1
21,58,11,46.537,2.55637,2.49359,[690210],1
22,17,1,63.2891,0.38492000000000004,-1.5213499999999998,[751397 751396],1
22,17,4,-45.614000000000004,-0.43847500000000006,0.9582250000000001,[534573 717672],1
22,17,8,-49.2595,-1.37398,0.40973999999999977,[750739 750738],1
22,20,11,93.8671,0.857761,-5.41294,[723421],1
22,26,11,68.2063,3.04956,1.95739,[52806],1
22,30,11,-55.4604,-2.2229413,-4.14093,[60100 60099],1
22,35,11,-112.8805,0.773036,2.5245305,[359536 359535],1
22,45,0,-54.427018125,-0.7660531312500001,0.32448493749999996,"[206607 299834 206608 628673 299833 628675 650228 628676 650229 628674
 299837 299835 299836 650226 650230 650227]",1
22,45,11,-54.1722,2.14416,4.4452,[596434],1
22,46,1,-48.554416249999996,-1.04180125,-0.26748625000000004,[348233 348234 554636 348235 348237 348232 373111 348236],1
22,56,11,-92.9202,2.69168,3.02227,[729907],1
23,15,4,45.2597,-2.84039,0.5424335,[412897 412898],1
23,15,5,-48.3768,2.70103,2.45756,[101773],1
23,17,11,60.346366666666675,3.1973266666666667,0.35287833333333357,[600427 600429 600428],1
